"id","title","link","pubDate","desc"
"IE1","both tyres of sp punctured sharad yadav","http://indianexpress.com/article/india/uttar-pradesh-polls-both-tyres-of-sp-punctured-jdu-saharad-yadav-4450973/","Thu, 29 Dec 2016 18:35:13 +0000","taking on the bsp janata dal u leader sharad yadav claimed it is an elephant without a master"
"IE2","arunachal cm pema khandu 6 others temporarily suspended from ppa","http://indianexpress.com/article/india/arunachal-cm-pema-khandu-6-others-temporarily-suspended-from-ppa-4450972/","Thu, 29 Dec 2016 18:28:30 +0000","arunachal cm pema khandu now ceases to be the leader of the legislature"
"IE3","president pranab mukherjee asks youth to serve nation wholeheartedly","http://indianexpress.com/article/india/president-pranab-mukherjee-asks-youth-to-serve-nation-wholeheartedly-4450962/","Thu, 29 Dec 2016 18:16:51 +0000","i appeal to all of you to dedicate yourselves wholeheartedly in the service of your motherland president pranab mukherjee said"
"IE4","tigress mowed down by speeding train in madhya pradesh","http://indianexpress.com/article/india/tigress-mowed-down-by-speeding-train-in-madhya-pradesh-4450954/","Thu, 29 Dec 2016 18:02:42 +0000","we have got the information that a tigress was killed by a speeding train the forest team has rushed to the site said a divisional forest officer"
"IE5","pakistan captures 65 indian fishermen seizes 13 boats","http://indianexpress.com/article/india/pakistan-captures-65-indian-fishermen-seizes-13-boats-4450951/","Thu, 29 Dec 2016 17:53:32 +0000","we have learnt from our member fishermen in the sea that a total 13 boats from porbandar okha and mangrol were apprehended by the pmsa with 65 fishermen on board yesterday said nff secretary manish lodhari"
"IE6","centre to help haryana in developing silk weaving units smriti zubin irani","http://indianexpress.com/article/india/centre-to-help-haryana-in-developing-silk-weaving-units-smriti-zubin-irani-4450939/","Thu, 29 Dec 2016 17:00:56 +0000","the central government would assist haryana in developing silk weaving units in panipat ambala sirsa and panchkula union textile minister smriti zubin irani said on thursday"
"IE7","new panel to shortlist names for aiims director on january 6","http://indianexpress.com/article/india/new-panel-to-shortlist-names-for-aiims-director-on-january-6-4450938/","Thu, 29 Dec 2016 17:00:45 +0000","the meeting of the panel which has been approved by the director of personnel and training dopt will be chaired by health secretary c k mishra"
"IE8","excise raids reveal rs 50 crore duty evasion by three tamil nadu jewellers","http://indianexpress.com/article/india/excise-raids-reveal-rs-50-crore-duty-evasion-by-three-tamil-nadu-jewellers/","Thu, 29 Dec 2016 16:58:44 +0000","articles of jewellery attract duty under the central excise tariff act as per the 2016 17 budgetary provisions and it carries duty at the rate of one per cent on the selling value of the jewellery"
"IE9","hurriyat leader masarat alam bhat released from kathua jail re arrested","http://indianexpress.com/article/india/hurriyat-leader-masarat-alam-bhat-released-from-kathua-jail-rearrested-4450934/","Thu, 29 Dec 2016 16:56:32 +0000","j k high court had ordered his release on tuesday"
"IE10","income declaration scheme may help meet fiscal deficit target rbi","http://indianexpress.com/article/india/income-declaration-scheme-may-help-meet-fiscal-deficit-target-rbi-4450929/","Thu, 29 Dec 2016 16:53:24 +0000",NA
