"id","title","link","pubDate","desc"
"HIN1","due date extended for intermediate exam fee","http://www.thehindu.com/news/cities/Hyderabad/Due-date-extended-for-Intermediate-exam-fee/article16960576.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Fri, 30 Dec 2016 00:11:20 +0530","hyderabad the due dates for payment of ssc examination fee regular private once failed have been extended for remittance of examination fee under tatkal scheme last date for remittance to the head"
"HIN2","acb raids offices residences of three govt officials in bengaluru","http://www.thehindu.com/news/national/karnataka/ACB-raids-offices-residences-of-three-govt.-officials-in-Bengaluru/article16960573.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Fri, 30 Dec 2016 00:08:56 +0530","the anti corruption bureau acb bengaluru conducted raids on the houses of three government officials including a deputy director of land records bengaluru rural on thursday according to acb of"
"HIN3","atm coverage poor in karnataka","http://www.thehindu.com/news/national/karnataka/ATM-coverage-poor-in-Karnataka/article16960569.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Fri, 30 Dec 2016 00:08:49 +0530","20 districts rank below national average of 17 atms per 1 lakh population"
"HIN4","talking to children about untouchability","http://www.thehindu.com/opinion/op-ed/Talking-to-children-about-untouchability/article16960326.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:01:11 +0530","rather than deny its existence it is time for parents teachers and even the government to start talking to children about ending such practices today"
"HIN5","notes to remember","http://www.thehindu.com/opinion/op-ed/Notes-to-remember/article16960300.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:57:02 +0530","if even the united states has not yet given up on cash should india"
"HIN6","demonetisation presents an opportunity","http://www.thehindu.com/opinion/columns/Demonetisation-presents-an-opportunity/article16960245.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:47:49 +0530","a flailing congress party after suffering several electoral defeats in many state elections since 2014 has narrowed its focus on to pro poor and agrarian issues as a way to shore up popular support"
"HIN7","cartoonscape december 30 2016","http://www.thehindu.com/opinion/cartoon/article16960235.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:43:32 +0530","30thcartoonscape"
"HIN8","goodbye barack","http://www.thehindu.com/opinion/lead/Goodbye-Barack/article16960230.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:40:13 +0530","the election of its first black president was the beginning of the change america needed and which the world applauded it is also the change america has reversed and which the world is regretting"
"HIN9","peace on track in colombia","http://www.thehindu.com/opinion/editorial/Peace-on-track-in-Colombia/article16960217.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:37:05 +0530","colombias government now knows only too well that there is many a slip between the cup and the lip in october a referendum to ratify a painstakingly negotiated peace deal it had signed with the lon"
"HIN10","sasikala rising","http://www.thehindu.com/opinion/editorial/Sasikala-rising/article16960211.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:35:43 +0530","that v k sasikala was nominated general secretary of the aiadmk by its general council is no surprise her elevation from party worker to party head has followed days of demands and entreaties from s"
"HIN11","cbcs holds key for future generations","http://www.thehindu.com/news/national/telangana/%E2%80%98CBCS-holds-key-for-future-generations%E2%80%99/article16960535.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Fri, 30 Dec 2016 00:01:54 +0530","b rajashekhar dean of management sciences university of hyderabad said the choice based credit system cbcs holds the key for future generations of the country speaking at the two day national s"
"HIN12","the achievers club","http://www.thehindu.com/news/cities/Hyderabad/The-achievers%E2%80%99-club/article16960526.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Fri, 30 Dec 2016 00:01:32 +0530","a look back on some of the major achievements of sportspersons from the state"
"HIN13","paigah tombs complex to be added to swadesh darshan circuit","http://www.thehindu.com/news/cities/Hyderabad/Paigah-tombs-complex-to-be-added-to-Swadesh-Darshan-circuit/article16960518.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:59:54 +0530","the paigah tombs complex at phisalbanda on the fringes of hyderabad is set to be added to the swadesh darshan circuit along with qutb shahi tombs raymonds tomb and hayat baqshi begum masjid the"
"HIN14","kuvempu tried to eradicate blind beliefs through his works minister","http://www.thehindu.com/news/national/karnataka/Kuvempu-tried-to-eradicate-blind-beliefs-through-his-works-Minister/article16960490.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:53:29 +0530","vishwamanava day marks jnanpith award winners 112 birth anniversary"
"HIN15","versatility is key","http://www.thehindu.com/entertainment/music/Versatility-is-key/article16960487.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:53:21 +0530","it would be unusual to find a person who has not danced to the beats of neha kakkars songs with mesmerising music and thumping beats her funky songs like kar gayi chull and kala chashma inspir"
"HIN16","akhilesh declares parallel list of candidates","http://www.thehindu.com/news/national/other-states/Akhilesh-declares-parallel-list-of-candidates/article16960480.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:54:46 +0530","in an open rebellion that could split the ruling sp uttar pradesh chief minister akhilesh yadav tonight declared his own candidates for 235 seats against the official list announced by his father an"
"HIN17","fervour marks ellu amavasya in kalaburagi district","http://www.thehindu.com/news/national/karnataka/Fervour-marks-Ellu-Amavasya-in-Kalaburagi-district/article16960477.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:52:23 +0530","ellu amavasya a harvest festival was celebrated with fervour across kalaburagi district on thursday cutting across caste and communal lines the entire farming community paid their obeisances to m"
"HIN18","shankar pratishtan awards scholarships announced","http://www.thehindu.com/news/national/karnataka/Shankar-Pratishtan-awardsscholarships-announced/article16960472.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:51:34 +0530","dr p s shankar pratishtan kalaburagi a charitable trust working in the field of health and medical education has announced two awards for medical professionals and scholarships for five medical"
"HIN19","revised sarojini mahishi panelrecommendationsin a fortnight","http://www.thehindu.com/news/national/karnataka/%E2%80%98Revised-Sarojini-Mahishi-panelrecommendationsin-a-fortnight%E2%80%99/article16960467.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:50:42 +0530","chief minister had constituted 21 member committee headed by kda chairman"
"HIN20","lets rewind","http://www.thehindu.com/entertainment/movies/Let%E2%80%99s-rewind/article16960462.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:47:34 +0530","if you are seeking to welcome the new year from the warmth of quilt with a mug of coffee we have brewed an eclectic mix of films from the 70s that have been picked from the ones featured in the colum"
