"id","title","link","pubDate","desc"
"IE1","c rajagopalacharis vision a political space honouring individual liberty free and fair competition","http://indianexpress.com/article/india/c-rajajagopalacharis-vision-a-political-space-honouring-individual-liberty-free-and-fair-competition-4419895/","Sat, 10 Dec 2016 04:02:40 +0000","rajagopalachari was a lawyer independence activist liberal thinker and close associate of contemporaries such as gandhi and nehru"
"IE2","hyderabad building collapse 11 bodies recovered from debris owner arrested","http://indianexpress.com/article/india/hyderabad-building-collapse-11-bodies-recovered-from-debris-owner-arrested-4419906/","Sat, 10 Dec 2016 03:53:08 +0000","telangana municipal administration minister k t rama rao visited the spot friday and announced ex gratia of rs 10 lakh to the next of kin of those killed in the hyderabad building collapse"
"IE3","delhi 550 students dress up as albert einstein eye guinness world record","http://indianexpress.com/article/india/delhi-550-students-dress-up-as-albert-einstein-eye-guinness-world-record-4419905/","Sat, 10 Dec 2016 03:24:04 +0000","einstein one of the most celebrated scientists in the world was a german born physicist who is known for developing the general theory of relativity and propounding the famous equation e mc2"
"IE4","badals used public money to organise moga rally","http://indianexpress.com/article/india/badals-used-public-money-to-organise-moga-rally/","Sat, 10 Dec 2016 01:00:48 +0000","unfortunately neither the senior badal nor the junior badal has no inclination of saving the agrarian community"
"IE5","kaithal embezzlement case hc junks plea of accused orders sit to complete probe in six weeks","http://indianexpress.com/article/india/kaithal-embezzlement-case-hc-junks-plea-of-accused-orders-sit-to-complete-probe-in-six-weeks/","Sat, 10 Dec 2016 00:44:25 +0000","the ias officers and other accused had approached the high court challenging kaithal trial court s orders of summoning them and directing further investigation against dinesh yadav and mona a sreenivas"
"IE6","scrapping of import duty on wheat farmers call decision unfortunate threaten to launch agitation soon","http://indianexpress.com/article/india/scrapping-of-import-duty-on-wheat-farmers-call-decision-unfortunate-threaten-to-launch-agitation-soon-4419799/","Sat, 10 Dec 2016 00:37:17 +0000","jagmohan singh dakaunda general secretary of a faction of the bhartiya kisan union bku said that union finance minister arun jaitelys unfortunate decision will prove suicidal for farmers"
"IE7","40 lakh drug addicts in punjab says arvind kejriwal","http://indianexpress.com/article/india/40-lakh-drug-addicts-in-punjab-says-arvind-kejriwal/","Sat, 10 Dec 2016 00:35:30 +0000","kejriwal also alleged that the sad bjp alliance and congress have reached a secret pact to contest the 2017 assembly polls"
"IE8","india must spend 6 of gdp on education says manmohan singh","http://indianexpress.com/article/india/india-must-spend-6-of-gdp-on-education-says-manmohan-singh-4419775/","Sat, 10 Dec 2016 00:32:37 +0000","manmohan singh said the current tendency to generate and promote social divisions could be overcome by educating people to acquire values based on independence struggle and how the idea of india crystallised"
"IE9","punjab polls congressmen should get preference over turncoats says sonia gandhi","http://indianexpress.com/article/india/punjab-polls-congressmen-should-get-preference-over-turncoats-says-sonia-gandhi/","Sat, 10 Dec 2016 00:26:36 +0000","sonia categorically asked the state congress not to make any commitments to the turncoats and they should be asked to join unconditionally"
"IE10","fazilka accident now when he was settled destiny did this to family there is wave of grief in the village","http://indianexpress.com/article/india/punjab-fazilka-accident-teachers-dead-4419792/","Sat, 10 Dec 2016 00:06:51 +0000","nearly all who died in fazilka accident came from poor families and shouldered financial responsibility"
"IE11","surat rs 1 57 cr in new notes seized four held","http://indianexpress.com/article/india/surat-rs-1-57-cr-in-new-notes-seized-four-held/","Sat, 10 Dec 2016 00:05:03 +0000","according to sources the traders firm had deposited rs 11 crore in cash in a bank a few days ago bringing him under the lens of i t department"
"IE12","rajkot two held with rs 25 lakh cashier flees","http://indianexpress.com/article/india/rajkot-two-held-with-rs-25-lakh-cashier-flees/","Fri, 09 Dec 2016 23:56:37 +0000","dharani and makadiya claimed that the cash belonged to patel who was supposed to get a commission upon its delivery to bipin chandarana and chetan chandarana police said"
"IE13","ghaziabad rs 14 lakh in new notes seized two held","http://indianexpress.com/article/india/ghaziabad-rs-14-lakh-in-new-notes-seized-two-held/","Fri, 09 Dec 2016 23:51:56 +0000","upon questioning it was found that amit ran a coaching centre while luvdeep claimed to be a physiotherapist police said adding that the enforcement directorate was informed of the arrests"
"IE14","post demonetisation both aap bjp vying to woo traders","http://indianexpress.com/article/india/post-demonetisation-both-aap-bjp-vying-to-woo-traders-4419796/","Fri, 09 Dec 2016 23:38:31 +0000","after demonetisation kejriwal and deputy cm manish sisodia reached out to the traders suffering huge losses"
"IE15","gujarat dalit girl rape jignesh alpesh join hands to lend support to victim","http://indianexpress.com/article/india/gujarat-dalit-girl-rape-jignesh-alpesh-join-hands-to-lend-support-to-victim-4419786/","Fri, 09 Dec 2016 23:15:49 +0000","the girl had recently filed a complaint at patdi police station alleging that 23 year old bittu patel the son of president of patdi taluka unit of bjp took her to a hotel and establish physical relations with her on the pretext of marriage"
"IE16","i t sleuths surat police seize rs 1 57 crore in new notes","http://indianexpress.com/article/india/i-t-sleuths-surat-police-seize-rs-1-57-crore-in-new-notes-4419777/","Fri, 09 Dec 2016 23:09:31 +0000","acting on an input police personnel intercepted the car near classic complex in sachin gidc in the morning and found 38 bundles of rs 2000 notes in the boot"
"IE17","all levels of transactions in jnu to go digital","http://indianexpress.com/article/india/all-levels-of-transactions-in-jnu-to-go-digital/","Fri, 09 Dec 2016 23:04:56 +0000","jnu community is requested peruse contents presentation about the digital payment initiative on the mhrd website"
"IE18","kolkata musa quizzed on dhaka attack","http://indianexpress.com/article/india/musa-quizzed-on-dhaka-attack-4419766/","Fri, 09 Dec 2016 22:59:48 +0000","the interrogation said to be a part of fbis global study and monitoring of detainees with links to is operatives mainly concentrated on musas international connections said sources"
"IE19","cm arvind kejriwal takes on l g again this time over delhi commission for women","http://indianexpress.com/article/india/cm-arvind-kejriwal-takes-on-l-g-again-this-time-over-delhi-commission-for-women/","Fri, 09 Dec 2016 22:58:02 +0000","leader of opposition in delhi assembly vijender gupta said in an illegal and unconstitutional move the chief minister has arrogantly directed the chief secretary not to implement the l gs direction"
"IE20","in storm hit andaman vacation turns nightmare","http://indianexpress.com/article/india/in-storm-hit-andaman-vacation-turns-nightmare-4419759/","Fri, 09 Dec 2016 22:55:36 +0000","it was the scariest experience in my life i have never seen anything like it"
"IE21","policy meaningless if implemented without human face justice h l dattu","http://indianexpress.com/article/india/policy-meaningless-if-implemented-without-human-face-justice-h-l-dattu/","Fri, 09 Dec 2016 22:46:13 +0000",NA
"IE22","behind skipping nitin gadkari daughter wedding mamatas worry on keeping opposition together","http://indianexpress.com/article/india/behind-skipping-nitin-gadkari-daughter-wedding-mamatas-worry-on-keeping-opposition-together-4419756/","Fri, 09 Dec 2016 22:36:03 +0000","earlier sources said the congress had taken offence to a statement made by a trinamool leader articulating the ruling partys decision to oppose bandhs in the state"
"IE23","delhi high court pained by failure to trace najeeb want mother to get her son back","http://indianexpress.com/article/india/delhi-high-court-pained-by-failure-to-trace-najeeb-want-mother-to-get-her-son-back/","Fri, 09 Dec 2016 22:31:38 +0000","ahmad 27 had gone missing from the hostel on october 15 after an alleged row with abvp members the organisation however has denied any involvement in his disappearance"
"IE24","muzaffarnagar 19 year old girl found dead in sugarcane fields","http://indianexpress.com/article/india/muzaffarnagar-19-year-old-girl-found-dead-in-sugarcane-fields-4419736/","Fri, 09 Dec 2016 22:29:19 +0000","while the family of the girl alleged that she was raped police said the postmortem report has not confirmed the same"
"IE25","angry mehbooba mufti leaves cabinet meeting in huff","http://indianexpress.com/article/india/angry-mehbooba-mufti-leaves-cabinet-meeting-in-huff/","Fri, 09 Dec 2016 22:28:26 +0000","the proposal had come from the states home department which mehbooba heads it was made as kps officers do not get promoted beyond the ssp level unless they are inducted into the ips"
"IE26","woman raped by auto driver in greater noida police","http://indianexpress.com/article/india/woman-raped-by-auto-driver-in-greater-noida-police-4419735/","Fri, 09 Dec 2016 22:24:16 +0000","the woman approached police on wednesday evening and a medical examination was conducted"
"IE27","demonetisation bjp it cell youth wing to teach villagers to go cashless","http://indianexpress.com/article/india/demonetisation-bjp-it-cell-youth-wing-to-teach-villagers-to-go-cashless-4419734/","Fri, 09 Dec 2016 22:17:09 +0000","the trained workers will later fan out across the state to train people in both urban and rural areas about cashless transactions"
"IE28","sp leader announces award for pm modi amit shah beheading","http://indianexpress.com/article/india/sp-leader-announces-award-for-pm-modi-amit-shah-beheading/","Fri, 09 Dec 2016 22:13:40 +0000","when contacted sp state spokesperson mohammad shahid said the party will initiate action against tarun"
"IE29","demonetisation mps and their money","http://indianexpress.com/article/india/how-mp-member-parliament-demonetisation-are-coping-with-the-cash-crunch-4419706/","Fri, 09 Dec 2016 22:09:02 +0000","mps of various parties tell the indian express how they are coping with the cash crunch"
"IE30","explain appointment of acting cbi chief apex court to govt","http://indianexpress.com/article/india/explain-appointment-of-acting-cbi-chief-apex-court-to-govt/","Fri, 09 Dec 2016 22:03:56 +0000","the pil has alleged that the centre took a series of steps in a completely malafide arbitrary and illegal manner to ensure that asthana was given the charge of cbi director"
